-1.37668e-14,-2.05391e-15
4.53463,4.40732
6.40823,5.96217
7.76957,6.81064
8.92286,7.24823
10,7.3849
11.0771,7.24823
12.2304,6.81064
13.5918,5.96217
15.4654,4.40732
20,-8.88178e-15
4.40732,4.53463
5.18557,5.18557
6.67202,6.35422
7.87938,7.05309
8.96536,7.43549
10,7.55704
11.0346,7.43549
12.1206,7.05309
13.328,6.35422
14.8144,5.18557
15.5927,4.53463
5.96217,6.40823
6.35422,6.67202
7.14597,7.14597
8.09858,7.597
9.05247,7.87103
10,7.96195
10.9475,7.87103
11.9014,7.597
12.854,7.14597
13.6458,6.67202
14.0378,6.40823
6.81064,7.76957
7.05309,7.87938
7.597,8.09858
8.32788,8.32788
9.14855,8.48973
10,8.54607
10.8515,8.48973
11.6721,8.32788
12.403,8.09858
12.9469,7.87938
13.1894,7.76957
7.24823,8.92286
7.43549,8.96536
7.87103,9.05247
8.48973,9.14855
9.21973,9.21973
10,9.24562
10.7803,9.21973
11.5103,9.14855
12.129,9.05247
12.5645,8.96536
12.7518,8.92286
7.3849,10
7.55704,10
7.96195,10
8.54607,10
9.24562,10
10,10
10.7544,10
11.4539,10
12.038,10
12.443,10
12.6151,10
7.24823,11.0771
7.43549,11.0346
7.87103,10.9475
8.48973,10.8515
9.21973,10.7803
10,10.7544
10.7803,10.7803
11.5103,10.8515
12.129,10.9475
12.5645,11.0346
12.7518,11.0771
6.81064,12.2304
7.05309,12.1206
7.597,11.9014
8.32788,11.6721
9.14855,11.5103
10,11.4539
10.8515,11.5103
11.6721,11.6721
12.403,11.9014
12.9469,12.1206
13.1894,12.2304
5.96217,13.5918
6.35422,13.328
7.14597,12.854
8.09858,12.403
9.05247,12.129
10,12.038
10.9475,12.129
11.9014,12.403
12.854,12.854
13.6458,13.328
14.0378,13.5918
4.40732,15.4654
5.18557,14.8144
6.67202,13.6458
7.87938,12.9469
8.96536,12.5645
10,12.443
11.0346,12.5645
12.1206,12.9469
13.328,13.6458
14.8144,14.8144
15.5927,15.4654
-1.44329e-15,20
4.53463,15.5927
6.40823,14.0378
7.76957,13.1894
8.92286,12.7518
10,12.6151
11.0771,12.7518
12.2304,13.1894
13.5918,14.0378
15.4654,15.5927
20,20
