-2.07107,-2.07107
-1.76962,-2.36018
-0.951698,-3.036
0.475879,-3.91809
2.52697,-4.68938
5,-5
7.47303,-4.68938
9.52412,-3.91809
10.9517,-3.036
11.7696,-2.36018
12.0711,-2.07107
-2.36018,-1.76962
-1.59387,-1.59387
-0.44709,-1.78189
1.07613,-2.15057
2.93527,-2.49163
5,-2.62881
7.06473,-2.49163
8.92387,-2.15057
10.4471,-1.78189
11.5939,-1.59387
12.3602,-1.76962
-3.036,-0.951698
-1.78189,-0.44709
-0.333422,-0.333422
1.30178,-0.415937
3.10138,-0.538182
5,-0.592074
6.89862,-0.538182
8.69822,-0.415937
10.3334,-0.333422
11.7819,-0.44709
13.036,-0.951698
-3.91809,0.475879
-2.15057,1.07613
-0.415937,1.30178
1.34407,1.34407
3.1538,1.32235
5,1.30714
6.8462,1.32235
8.65593,1.34407
10.4159,1.30178
12.1506,1.07613
13.9181,0.475879
-4.68938,2.52697
-2.49163,2.93527
-0.538182,3.10138
1.32235,3.1538
3.16082,3.16082
5,3.15918
6.83918,3.16082
8.67765,3.1538
10.5382,3.10138
12.4916,2.93527
14.6894,2.52697
-5,5
-2.62881,5
-0.592074,5
1.30714,5
3.15918,5
5,5
6.84082,5
8.69286,5
10.5921,5
12.6288,5
15,5
-4.68938,7.47303
-2.49163,7.06473
-0.538182,6.89862
1.32235,6.8462
3.16082,6.83918
5,6.84082
6.83918,6.83918
8.67765,6.8462
10.5382,6.89862
12.4916,7.06473
14.6894,7.47303
-3.91809,9.52412
-2.15057,8.92387
-0.415937,8.69822
1.34407,8.65593
3.1538,8.67765
5,8.69286
6.8462,8.67765
8.65593,8.65593
10.4159,8.69822
12.1506,8.92387
13.9181,9.52412
-3.036,10.9517
-1.78189,10.4471
-0.333422,10.3334
1.30178,10.4159
3.10138,10.5382
5,10.5921
6.89862,10.5382
8.69822,10.4159
10.3334,10.3334
11.7819,10.4471
13.036,10.9517
-2.36018,11.7696
-1.59387,11.5939
-0.44709,11.7819
1.07613,12.1506
2.93527,12.4916
5,12.6288
7.06473,12.4916
8.92387,12.1506
10.4471,11.7819
11.5939,11.5939
12.3602,11.7696
-2.07107,12.0711
-1.76962,12.3602
-0.951698,13.036
0.475879,13.9181
2.52697,14.6894
5,15
7.47303,14.6894
9.52412,13.9181
10.9517,13.036
11.7696,12.3602
12.0711,12.0711
