-2.07107,-2.07107
-1.47167,-2.62348
-0.472136,-3.36993
1.02135,-4.17444
2.90192,-4.77743
5,-5
7.09808,-4.77743
8.97865,-4.17444
10.4721,-3.36993
11.4717,-2.62348
12.0711,-2.07107
-2.62348,-1.47167
-1.39981,-1.39981
-0.0131728,-1.80227
1.52296,-2.29186
3.21359,-2.66432
5,-2.80209
6.78641,-2.66432
8.47704,-2.29186
10.0132,-1.80227
11.3998,-1.39981
12.6235,-1.47167
-3.36993,-0.472136
-1.80227,-0.0131728
-0.110958,-0.110958
1.58953,-0.374098
3.29203,-0.600888
5,-0.687036
6.70797,-0.600888
8.41047,-0.374098
10.111,-0.110958
11.8023,-0.0131728
13.3699,-0.472136
-4.17444,1.02135
-2.29186,1.52296
-0.374098,1.58953
1.47709,1.47709
3.25909,1.35554
5,1.30681
6.74091,1.35554
8.52291,1.47709
10.3741,1.58953
12.2919,1.52296
14.1744,1.02135
-4.77743,2.90192
-2.66432,3.21359
-0.600888,3.29203
1.35554,3.25909
3.20831,3.20831
5,3.18696
6.79169,3.20831
8.64446,3.25909
10.6009,3.29203
12.6643,3.21359
14.7774,2.90192
-5,5
-2.80209,5
-0.687036,5
1.30681,5
3.18696,5
5,5
6.81304,5
8.69319,5
10.687,5
12.8021,5
15,5
-4.77743,7.09808
-2.66432,6.78641
-0.600888,6.70797
1.35554,6.74091
3.20831,6.79169
5,6.81304
6.79169,6.79169
8.64446,6.74091
10.6009,6.70797
12.6643,6.78641
14.7774,7.09808
-4.17444,8.97865
-2.29186,8.47704
-0.374098,8.41047
1.47709,8.52291
3.25909,8.64446
5,8.69319
6.74091,8.64446
8.52291,8.52291
10.3741,8.41047
12.2919,8.47704
14.1744,8.97865
-3.36993,10.4721
-1.80227,10.0132
-0.110958,10.111
1.58953,10.3741
3.29203,10.6009
5,10.687
6.70797,10.6009
8.41047,10.3741
10.111,10.111
11.8023,10.0132
13.3699,10.4721
-2.62348,11.4717
-1.39981,11.3998
-0.0131728,11.8023
1.52296,12.2919
3.21359,12.6643
5,12.8021
6.78641,12.6643
8.47704,12.2919
10.0132,11.8023
11.3998,11.3998
12.6235,11.4717
-2.07107,12.0711
-1.47167,12.6235
-0.472136,13.3699
1.02135,14.1744
2.90192,14.7774
5,15
7.09808,14.7774
8.97865,14.1744
10.4721,13.3699
11.4717,12.6235
12.0711,12.0711
