8.81939e-05,8.82918e-05
2.9365,2.6454
4.36245,3.33054
5.63544,3.33054
7.06184,2.6454
9.99991,8.83114e-05
2.64528,2.93662
3.24279,3.24292
4.43215,3.71706
5.5657,3.71706
6.75538,3.24292
7.35306,2.93662
3.33038,4.3626
3.7169,4.43231
4.51885,4.51901
5.47892,4.51901
6.28095,4.43231
6.6675,4.3626
3.33038,5.63559
3.7169,5.56586
4.51885,5.47909
5.47892,5.47909
6.28095,5.56586
6.6675,5.63559
2.64528,7.06197
3.24279,6.75551
4.43215,6.28111
5.5657,6.28111
6.75538,6.75551
7.35306,7.06197
8.82861e-05,9.99991
2.9365,7.35318
4.36245,6.66765
5.63544,6.66765
7.06184,7.35318
9.99991,9.99991
